date	user	repo	forks	stars	open_issues	commits_total	commits_last	commits_first	commits_authors	commits_publish	files_rmd	files_total
2017-03-07	stephenslab	confounding-polygenic	0	0	0	12	2017-03-15	2017-03-07	1	4	5	108
2017-03-08	simecek	High-Resolution-Mapping-of-Reference-Populations	0	0	0	3	2017-03-13	2017-03-07	1	0	3	93
2017-03-09	CreRecombinase	eqtl_estimation	0	0	0	38	2017-07-10	2017-03-02	2	22	10	146
2017-03-12	LSun	BayeS	1	1	0	25	2017-05-31	2017-03-12	1	0	10	156
2017-03-14	stephens999	workflowr-talks	0	0	0	6	2017-03-14	2017-03-12	1	2	3	90
2017-03-15	jean997	sh2Ash	1	0	0	122	2018-05-22	2017-03-06	1	26	23	651
2017-03-21	dcgerard	gaussian_mixtures	0	0	0	15	2017-03-24	2017-03-21	1	0	11	113
2017-03-23	dleelab	iasvaExamples	1	2	1	89	2018-08-28	2017-03-23	3	0	10	272
2017-03-28	CreRecombinase	DeepVariantAnnotation	0	0	0	30	2017-05-02	2017-03-28	2	7	10	122
2017-03-28	han16	rare-var-project	0	0	0	76	2019-01-25	2017-03-23	3	3	9	314
2017-03-31	han16	JumpSeq-project	1	0	0	124	2018-11-27	2017-03-30	3	0	14	651
2017-04-06	kkdey	aRchaic	3	15	3	69	2018-08-13	2018-01-08	3	0	1	137
2017-04-14	stephens999	misc	0	1	0	90	2018-10-09	2017-04-14	1	42	34	232
2017-04-20	mengyin	bulk_single	0	0	0	8	2017-04-21	2017-04-20	1	3	6	124
2017-04-21	docmanny	Data-In-Motion	0	1	0	18	2017-05-04	2017-04-21	1	11	6	123
2017-05-07	han16	Bioinformatics	0	0	0	3	2017-05-07	2017-05-07	1	0	4	101
2017-05-07	han16	ScientificComputing	0	0	0	2	2017-05-06	2017-05-06	1	0	6	84
2017-05-08	han16	Graphical-models	0	0	0	2	2017-05-08	2017-05-08	1	0	4	82
2017-05-15	simingz	TransElement	0	0	0	8	2017-05-26	2017-05-15	1	0	9	153
2017-05-19	kkdey	CorShrink_workflow	0	0	0	103	2017-11-19	2017-05-17	2	12	94	26654
2017-06-12	erinfry6	BAGER	0	2	0	104	2017-08-24	2017-06-12	2	17	9	768
2017-06-19	jdblischak	workflowr-demo01	0	0	0	13	2017-06-19	2017-06-19	1	6	6	184
2017-06-26	hamulmyo	mixopt	0	0	0	6	2017-06-26	2017-06-26	1	2	3	83
2017-06-28	stephenslab	wflow-divvy	1	5	1	213	2018-10-15	2017-06-28	1	19	7	115
2017-06-29	eEricWagner	ProjectPortfolio	0	0	0	107	2018-03-20	2017-06-29	3	4	16	498
2017-07-05	kkdey	pathtpx-workflow	0	0	0	5	2017-07-05	2017-07-05	1	0	9	522
2017-07-06	DongyueXie	Sequence-Motif-Depletion	0	0	0	132	2017-11-20	2017-07-06	2	60	27	543
2017-07-12	Awtum	BatchEffect	0	0	0	10	2017-07-12	2017-07-12	1	5	5	103
2017-07-12	chrisgig26	batch-test	0	0	0	6	2017-07-12	2017-07-12	1	3	4	134
2017-07-12	ConstanzaSilva	Wednesday	0	0	0	7	2017-07-12	2017-07-12	1	3	7	105
2017-07-12	FranklinShen	workflowr_example	0	0	0	5	2017-07-12	2017-07-12	1	2	5	86
2017-07-12	haihaba	WorkFlowR_ex_20170712_01	0	0	0	6	2017-07-12	2017-07-12	1	3	4	101
2017-07-12	hfigler	bootcamp_batcheffect	0	0	0	6	2017-07-12	2017-07-12	1	3	4	101
2017-07-12	HolyRomulus	batch	0	0	0	4	2017-07-12	2017-07-12	1	2	5	231
2017-07-12	Khumbu-kay	R_workflow	0	0	0	4	2017-07-12	2017-07-12	1	2	5	102
2017-07-12	ktw5072	workflowr	0	0	0	9	2017-07-12	2017-07-12	1	4	4	102
2017-07-12	laurabau	workflo	0	0	0	2	2017-07-12	2017-07-12	1	1	3	81
2017-07-12	maggiedouglas	workflow-test	0	0	0	3	2017-07-12	2017-07-12	1	2	3	81
2017-07-12	mariano11	batch_effect	0	0	0	4	2017-07-12	2017-07-12	1	2	4	101
2017-07-12	mmrathbun333	batch_effect	0	0	0	4	2017-07-12	2017-07-12	1	1	4	83
2017-07-12	Oliviagao74	batch_effect_bootcamp	0	0	0	9	2017-07-12	2017-07-12	1	5	5	103
2017-07-12	RuBP	BatchEffect	0	0	0	4	2017-07-12	2017-07-12	1	2	4	101
2017-07-12	Sarthok	batch_effect	0	0	0	6	2017-07-12	2017-07-12	1	4	4	101
2017-07-12	studylopez	Test_R	0	0	0	2	2017-07-12	2017-07-12	1	1	3	81
2017-07-12	vldeleo	bootcamp2017_batcheffect	0	0	0	10	2017-07-12	2017-07-12	1	5	6	108
2017-07-12	whateversclever79	batchEffect	0	0	0	5	2017-07-12	2017-07-12	1	3	4	101
2017-07-21	kkdey	singlecell-clustering	0	0	0	63	2017-10-01	2017-07-20	1	0	99	1357
2017-07-21	xiangzhu	sumstat-catalog	0	0	0	8	2017-07-25	2017-07-20	1	2	2	106
2017-07-23	nateaff	eeg-complex	0	1	0	19	2017-08-16	2017-07-23	2	0	8	448
2017-07-27	miheerdew	BMD-NullSimulations	0	0	0	11	2018-06-17	2017-07-27	2	0	4	25
2017-07-28	CreRecombinase	PolygenicRSS	0	0	4	220	2019-01-16	2017-07-27	4	78	27	472
2017-07-28	dcgerard	stat234	1	0	0	59	2018-03-15	2017-07-28	1	0	5	273
2017-07-28	rcc-uchicago	R-intro-divvy-2017	1	1	0	293	2018-04-30	2017-06-28	1	23	9	109
2017-07-29	smozaffari	oberlab_git	1	0	0	94	2017-08-01	2017-07-28	1	46	16	133
2017-08-03	kevinlkx	MILLIPEDE_workflow	0	0	0	37	2017-08-18	2017-08-03	1	5	4	270
2017-08-09	jdblischak	singlecell-qtl	2	3	0	550	2018-12-19	2017-08-09	3	92	23	1052
2017-08-16	CreRecombinase	MidwayFuture	0	0	0	3	2017-08-16	2017-08-16	1	1	5	103
2017-08-21	heatherhall	predictingGlucoseSpikesPrelim	0	0	0	32	2017-09-13	2017-08-21	1	11	11	147
2017-08-29	Yafei611	Test_batch_effect	0	1	0	4	2017-07-12	2017-07-12	1	2	5	103
2017-08-30	kkdey	Logolas-pages	0	0	0	99	2018-09-01	2017-08-30	1	0	7	1491
2017-09-05	stephenslab	cormotif	0	1	0	161	2018-03-07	2017-09-05	3	71	12	214
2017-09-06	nateaff	legolda	4	3	0	13	2017-09-22	2017-09-05	1	0	6	347
2017-09-08	xiangzhu	paper-reading	0	0	0	62	2018-12-26	2017-09-07	1	27	3	107
2017-09-13	jdblischak	dc-bioc-limma	2	0	0	140	2019-01-09	2017-09-13	1	25	10	197
2017-09-18	jdblischak	test-git	0	0	0	1	2017-09-18	2017-09-18	1	0	3	18
2017-09-18	MilesMcBain	keras_facial_keypoints	0	1	1	19	2017-09-21	2017-09-18	3	0	4	116
2017-09-21	dcgerard	scmouthwash	0	0	0	15	2018-01-10	2017-09-21	1	0	16	190
2017-10-05	IttaiEres	HiC	0	1	0	81	2018-10-13	2017-10-05	1	40	13	1019
2017-10-06	JesseGarcia562	LD1000Genomes	0	0	0	27	2017-12-01	2017-10-06	3	3	4	276
2017-10-12	vanAmsterdam	epi_simulations	0	0	0	21	2017-10-16	2017-10-12	1	10	7	111
2017-10-17	brimittleman	Net-seq	0	0	0	324	2018-07-23	2017-10-17	2	157	31	406
2017-10-19	UCD-Reproducible-research-clinic	UCD-Reproducible-research-clinic.github.io	0	1	0	30	2017-11-04	2017-10-19	3	6	6	153
2017-10-21	jhsiao999	singlecell-de	0	0	7	17	2017-11-28	2017-10-19	2	0	6	239
2017-10-27	vanAmsterdam	epi_stats	1	1	0	161	2018-06-15	2017-10-23	3	64	68	1451
2017-11-02	sefabey	workflowr_test	0	0	0	62	2017-11-12	2017-11-02	1	32	7	115
2017-11-07	annakrystalli	workflowr-example-project	0	0	0	3	2017-11-17	2017-11-07	2	1	3	81
2017-11-07	pzross	pberghei_ap2mutant	0	0	0	17	2018-03-23	2017-11-07	2	2	5	167
2017-11-10	jdblischak	test-push-pull	0	0	0	8	2017-11-10	2017-11-10	2	2	3	82
2017-11-10	pwh124	sc-da-parkinsons	2	3	0	286	2018-03-01	2017-11-10	2	113	42	671
2017-11-15	stephenslab	mash-application-immune	0	1	0	144	2018-02-08	2017-11-15	2	69	40	381
2017-11-16	jdblischak	wflow-build-undefined-variable	0	0	0	8	2017-11-16	2017-11-16	1	0	4	14
2017-11-17	annakrystalli	learn-TwitteR	0	0	0	2	2017-11-17	2017-11-17	2	0	3	17
2017-11-18	kkdey	methClust-pages	0	0	0	34	2018-08-24	2017-11-18	2	1	29	751
2017-11-21	diengiau	efinlit	0	0	0	10	2018-01-17	2017-11-21	2	3	3	150
2017-11-23	kkdey	CorShrink-pages	0	0	0	4	2018-09-15	2018-09-15	1	0	66	887
2017-11-24	rgayler	vsa_bind_ecc	0	0	0	3	2017-11-25	2017-11-24	1	2	3	81
2017-11-29	dcgerard	mupdog_analysis	0	0	0	88	2018-07-31	2017-11-29	2	0	NA	1064
2017-12-03	jhsiao999	nasalmicrobiome	0	0	0	138	2018-12-07	2017-12-20	2	61	17	162
2017-12-07	kevinlkx	test	0	0	0	3	2017-12-07	2017-12-07	1	1	3	82
2017-12-08	tk382	SCNoisyClustering	0	0	0	156	2018-09-26	2017-12-08	3	29	6	261
2017-12-11	annakrystalli	rstudio_git_github_hpc	0	1	1	7	2018-01-15	2017-12-11	2	0	3	20
2017-12-12	AlfonsoRReyes	myproject	0	0	0	8	2017-12-12	2017-12-12	1	2	4	101
2017-12-13	han16	mutation-rate-modeling	0	0	0	60	2018-11-15	2017-12-13	2	0	7	381
2017-12-13	noahknob	Fantasy	0	0	0	5	2017-12-13	2017-12-13	1	2	5	101
2017-12-18	qianfeng2	workflowr	0	1	0	162	2018-12-26	2017-12-19	1	68	19	269
2017-12-19	jhsiao999	mediation	0	0	0	57	2018-06-21	2017-12-14	1	11	8	149
2017-12-27	noahknob	Baseball_App	0	0	0	135	2018-03-24	2017-12-15	3	56	17	247
2017-12-28	DongyueXie	GSCCA	0	0	0	83	2018-01-07	2017-12-28	2	40	13	157
2018-01-08	noahknob	Stellar_Formation_Rate	0	0	0	2	2018-01-08	2018-01-08	1	1	3	81
2018-01-10	zouyuxin	mashr_contrast_simulation	0	0	0	61	2018-05-24	2018-01-10	2	30	15	200
2018-01-23	kkdey	autoimmune	0	0	0	5	2018-01-23	2018-01-23	2	0	10	158
2018-01-23	VPetukhov	dropEstAnalysis	2	5	0	87	2018-05-31	2018-01-23	2	1	3	309
2018-01-24	jhsiao999	dropseq	0	0	0	15	2018-04-17	2018-01-24	1	5	5	131
2018-01-24	jhsiao999	sc-power	0	0	0	3	2018-01-24	2018-01-24	1	1	3	79
2018-01-25	jdblischak	new-project	0	0	0	4	2018-01-25	2018-01-25	1	2	4	102
2018-02-01	davidhen	Scottish_Social_Care_Open_Data	0	0	0	81	2018-03-29	2018-02-01	2	33	6	128
2018-02-07	zouyuxin	mash_application	0	0	0	325	2019-01-23	2018-02-06	2	160	41	557
2018-02-16	kkdey	dashr-pages	0	0	0	16	2018-05-04	2018-02-16	2	0	15	203
2018-02-19	egouldo	ReproEcoDecisions	0	2	4	26	2018-06-12	2018-02-19	2	3	6	100
2018-02-26	MarkPlatts	Bee_Clustering_Website	1	2	0	62	2018-11-16	2018-02-24	4	9	7	181
2018-02-27	psudmant	BurgeLabBeerTasting2018	0	0	0	11	2018-02-28	2018-02-27	1	2	4	134
2018-03-08	hcheruiy	data-science-essentials	0	0	0	2	2018-03-07	2018-03-07	1	1	3	81
2018-03-09	ck2136	ttp_prediction	0	0	0	26	2018-03-10	2018-03-09	1	14	4	103
2018-03-09	jdblischak	test-windows-push	0	0	0	2	2018-03-09	2018-03-09	1	1	3	81
2018-03-09	liu-genomics	Single-cell-noncoding	0	0	0	4	2018-03-16	2018-03-09	1	0	NA	84
2018-03-16	hcheruiy	databases	0	0	0	5	2018-03-16	2018-03-16	1	2	5	103
2018-03-24	Lauren-Blake	Donors_choose	0	0	0	7	2018-03-29	2018-03-23	1	3	4	106
2018-03-25	kkdey	wallace_analysis	0	1	0	30	2018-06-08	2018-03-25	2	0	34	688
2018-03-25	stephens999	stat34800	5	0	0	51	2018-05-23	2018-03-25	2	18	15	183
2018-03-29	davidhen	rural_urban	0	0	0	11	2018-03-29	2018-03-29	1	5	4	85
2018-03-29	Lauren-Blake	Kaggle_donors_choose	0	0	0	35	2018-04-22	2018-03-29	2	17	7	162
2018-04-11	kevinlkx	data_smoothing	0	0	0	44	2018-04-10	2018-04-09	1	22	6	111
2018-04-11	Lauren-Blake	Chimp_eqtl	0	0	0	11	2018-09-05	2018-04-11	2	4	5	147
2018-04-12	kkdey	Black_magazines	0	0	0	21	2018-08-01	2018-04-11	2	0	35	856
2018-04-13	Lauren-Blake	Explore_WGCNA	0	1	0	59	2018-04-13	2018-04-11	2	29	4	134
2018-04-16	zouyuxin	mash_John_2015	0	0	0	41	2018-05-09	2018-04-16	1	18	14	212
2018-04-25	syl0125	myproject	0	0	0	11	2018-04-26	2018-04-25	1	8	4	94
2018-04-26	daaronr	substitution-replaced	0	0	0	3	2018-04-26	2018-04-26	1	1	3	91
2018-05-01	brimittleman	threeprimeseq	0	1	0	529	2019-01-25	2018-05-01	2	247	59	626
2018-05-02	stephenslab	dsc-log-fold-change	1	1	0	85	2019-01-11	2018-05-02	7	8	6	126
2018-05-03	DongyueXie	smash-gen	0	0	0	202	2019-01-27	2018-05-01	4	43	45	727
2018-05-10	jixing475	aijun_leigongteng	0	0	0	19	2018-05-14	2018-05-10	2	5	3	117
2018-05-10	zouyuxin	mash_Gandal_2018	1	0	0	33	2018-05-12	2018-05-10	1	15	9	180
2018-05-12	LSun	BHq	0	0	0	23	2018-05-14	2018-05-11	1	10	5	100
2018-05-17	adibender	simpamm	0	0	0	21	2018-05-23	2018-05-17	1	11	4	93
2018-05-24	eossiander	OpioidMaps	0	0	0	5	2018-05-24	2018-05-24	1	2	4	210
2018-05-30	gatoravi	scstoch	0	0	0	8	2018-10-19	2018-05-30	1	3	3	77
2018-06-05	mturchin20	InterPath	0	0	0	78	2019-01-10	2018-06-05	2	0	NA	204
2018-06-05	xinguangliu	myproject	0	0	0	6	2018-06-05	2018-06-05	2	2	3	73
2018-06-06	han16	PartitionMCMCDAG	0	1	0	18	2018-12-07	2018-06-06	3	0	12	119
2018-06-07	dleelab	impcsummary	0	0	0	31	2018-06-12	2018-06-07	1	3	4	216
2018-06-09	willwerscheid	MASHvFLASH	0	2	0	260	2018-09-21	2018-06-09	1	102	18	408
2018-06-12	ballardtj	discounting_recovery	2	0	1	72	2018-10-13	2018-06-12	3	16	7	255
2018-06-12	egouldo	ReplicatingEcoConsDecisions	0	0	0	7	2018-06-12	2018-06-12	2	0	4	13
2018-06-13	willwerscheid	etc	0	0	0	72	2019-01-20	2018-06-13	1	16	7	95
2018-06-15	davidhen	syncourse	0	0	0	30	2018-06-20	2018-06-15	1	13	4	161
2018-06-19	biomonika	myproject	0	0	0	8	2018-06-19	2018-06-18	1	3	5	100
2018-06-20	biomonika	cechova_website	0	0	0	5	2018-06-20	2018-06-20	1	3	4	98
2018-06-20	biomonika	myproject2	0	0	0	2	2018-06-20	2018-06-20	1	1	3	76
2018-06-20	bobems1215	bootcamp	0	0	0	3	2018-06-20	2018-06-20	1	1	4	93
2018-06-20	firephoenix11	Fengping_website	0	0	0	3	2018-06-20	2018-06-20	1	1	4	97
2018-06-20	haiderinam	myproject	0	0	0	5	2018-06-20	2018-06-20	1	2	4	98
2018-06-20	Jas1374	Bootcamp-Website	0	0	0	3	2018-06-20	2018-06-20	1	0	4	96
2018-06-20	kevinlkx	ATAC-seq_footprint_analysis	0	0	0	92	2018-08-30	2018-06-13	2	45	14	184
2018-06-20	rongma	bootcamp	0	0	0	6	2018-06-20	2018-06-20	1	3	5	104
2018-06-20	skitchen19	website_mock	0	0	0	5	2018-06-20	2018-06-20	1	3	4	96
2018-06-20	Vieira34	myworkflowr	0	0	0	3	2018-06-20	2018-06-20	1	1	3	94
2018-06-20	viviancai13	workflowr	0	0	0	2	2018-06-20	2018-06-20	1	0	4	99
2018-06-20	zzl136	zl	0	0	0	6	2018-06-21	2018-06-20	2	1	3	75
2018-06-21	dleelab	leedonghyung	0	0	0	57	2018-06-26	2018-06-21	2	4	4	114
2018-06-21	haiderinam	medsproject	0	0	0	33	2018-08-06	2018-06-21	2	6	3	89
2018-06-21	zzl136	zfy	0	0	0	3	2018-06-20	2018-06-20	1	1	3	74
2018-06-26	KaiqianZhang	Celltype-Variable-Selection	0	0	0	6	2018-06-26	2018-06-26	1	2	4	92
2018-07-05	mengyin	general_ash	1	0	0	24	2018-08-12	2018-07-05	1	9	8	178
2018-07-11	dewoller	user-conference	0	0	0	8	2018-07-13	2018-07-12	1	2	3	121
2018-07-12	han16	An_Introduction_to_Bayesian_Statistics	0	0	0	2	2018-07-12	2018-07-12	1	0	3	73
2018-07-15	dewoller	sleep_apneoa	0	0	0	27	2018-07-31	2018-07-15	1	12	5	112
2018-07-15	willwerscheid	FLASHvestigations	0	0	0	251	2019-01-28	2018-07-14	1	115	32	367
2018-07-16	chunghueywu	my_wflow_project	0	0	0	3	2018-07-16	2018-07-16	1	1	3	73
2018-07-17	amcguinn	live-demo	0	0	0	4	2018-07-17	2018-07-17	1	2	3	76
2018-07-17	amyloughman	live-demo	0	0	0	4	2018-07-17	2018-07-17	1	2	3	73
2018-07-17	bingrus	live-demo	0	0	0	12	2018-07-23	2018-07-17	2	7	4	99
2018-07-17	blaw36	live-demo	0	0	0	5	2018-08-04	2018-07-17	1	2	3	76
2018-07-17	dennyshin	workflowr-live-demo	0	0	0	4	2018-07-17	2018-07-17	2	2	3	73
2018-07-17	dvespasiani	live-demo	0	0	0	2	2018-07-17	2018-07-17	1	1	3	76
2018-07-17	gadams1959	live-demo	0	0	0	2	2018-07-17	2018-07-17	1	1	3	73
2018-07-17	gkong1	potatoes	0	0	0	2	2018-07-17	2018-07-17	1	1	3	87
2018-07-17	gtsambos	live-demo	0	0	0	2	2018-07-17	2018-07-17	1	1	3	73
2018-07-17	heejungshim	live-demo	0	0	0	6	2018-07-17	2018-07-17	1	4	3	76
2018-07-17	jackieduckie	workflow-demo	0	0	0	6	2018-07-17	2018-07-17	1	2	3	73
2018-07-17	jdblischak	live-demo	0	0	0	3	2018-07-17	2018-07-17	1	1	3	76
2018-07-17	JMarzec	live-demo	0	0	0	6	2018-07-17	2018-07-17	2	3	3	76
2018-07-17	kristyhoran	workflow-demo	0	0	0	2	2018-07-17	2018-07-17	1	1	3	76
2018-07-17	lecook	live-demo	0	0	0	4	2018-07-17	2018-07-17	1	2	3	76
2018-07-17	mamut343	live_demo	0	0	0	2	2018-07-17	2018-07-17	1	1	3	73
2018-07-17	mmYeung	Reproducibility_Live_Demo	0	0	0	3	2018-07-17	2018-07-17	1	1	3	73
2018-07-17	Moderate-PG	workflowr-live-demo	0	0	0	3	2018-07-17	2018-07-17	1	1	3	76
2018-07-17	MomenehForoutan	live-demo	0	0	0	2	2018-07-17	2018-07-17	2	1	3	76
2018-07-17	MrsLaviniaG	live-demo	0	0	0	3	2018-07-17	2018-07-17	1	2	3	76
2018-07-17	pahmadloo	live-demo	0	0	0	3	2018-07-17	2018-07-17	1	2	3	76
2018-07-17	Peihan-W	live-demo	0	0	0	4	2018-07-17	2018-07-17	1	3	3	76
2018-07-17	qianfeng2	myproject	0	0	0	2	2018-07-17	2018-07-17	1	1	3	81
2018-07-17	RoxaneLS	workflowR_tutorial	0	0	0	4	2018-07-17	2018-07-17	1	2	3	76
2018-07-17	skanwal	live-demo	0	0	0	7	2018-07-17	2018-07-17	1	3	4	97
2018-07-17	willpitchers	workflowr-demo	0	0	0	3	2018-07-17	2018-07-17	1	1	3	76
2018-07-17	yao-ban	workshop	0	0	0	8	2018-07-17	2018-07-17	2	4	4	96
2018-07-17	zitonglee	live-demo	0	0	0	3	2018-07-17	2018-07-17	1	2	3	76
2018-07-17	ziweil8	live-demo	0	0	0	21	2018-09-08	2018-07-17	1	12	4	96
2018-07-18	ballardtj	gen_arch	0	0	0	47	2018-08-08	2018-07-15	1	13	6	166
2018-07-18	jiangrongo	workflowr	0	0	0	5	2018-07-18	2018-07-18	1	2	3	93
2018-07-18	juliusPeppers	PepperFlow	0	0	0	53	2018-07-20	2018-07-18	2	26	5	99
2018-07-19	ballardtj	recruitment	0	0	0	58	2018-12-19	2018-07-19	2	5	8	436
2018-07-20	dewoller	benzodiazepine_opioid_usage	0	0	0	84	2018-12-11	2018-07-19	1	18	13	188
2018-07-20	mplastow	street_tree_census	0	0	0	5	2018-07-20	2018-07-20	1	2	4	95
2018-07-20	mplastow	street_trees_wf	0	0	0	2	2018-07-20	2018-07-20	1	1	3	73
2018-07-23	bingrus	myproject	0	0	0	187	2018-12-02	2018-07-23	2	101	11	154
2018-07-23	dewoller	data_science_students_2018	0	0	0	66	2018-11-20	2018-07-23	4	11	13	174
2018-07-24	dennyshin	first_project	0	0	0	14	2018-07-24	2018-07-24	1	7	4	93
2018-07-24	dewoller	workflowr_tutorial	0	0	0	5	2018-07-24	2018-07-20	1	1	4	101
2018-07-24	Nirmala100	STM5IPL	0	0	0	3	2018-07-24	2018-07-24	1	0	4	83
2018-07-24	rukaht	RUK1IPL	0	0	0	1	2018-07-24	2018-07-24	1	0	3	10
2018-07-25	ajpelu	testWFr	0	0	0	2	2018-07-25	2018-07-25	1	1	3	73
2018-07-25	dennyshin	Learning-Thoughts	0	0	0	37	2018-09-26	2018-07-24	1	18	15	127
2018-07-25	heqixin	varSeq	0	0	0	18	2018-12-06	2018-07-23	1	7	4	97
2018-08-01	brimittleman	comparative_threeprime	0	0	0	76	2018-08-28	2018-08-01	1	26	10	137
2018-08-04	timtrice	twitterlikes	0	1	0	16	2018-08-10	2018-07-31	2	0	1	11
2018-08-06	dewoller	dusk2dawn	0	0	0	7	2018-08-06	2018-07-27	1	2	5	117
2018-08-07	davismcc	fibroblast-clonality	4	2	1	80	2018-11-09	2018-08-07	3	14	13	460
2018-08-07	umccr	google_lims	1	1	1	66	2019-01-10	2018-08-07	3	2	7	370
2018-08-08	timtrice	workflowr_child_docs	0	1	0	3	2018-08-08	2018-08-08	1	0	3	92
2018-08-09	dewoller	LMS_reports	0	0	0	61	2018-10-29	2018-08-08	1	40	5	132
2018-08-10	carlmurie	RTSSProject	0	0	0	16	2018-08-10	2018-07-06	1	9	5	263
2018-08-12	AustinTHilliard	networks	0	0	0	120	2018-10-08	2018-08-12	1	58	6	110
2018-08-13	dennyshin	Elements-of-Stats-Lab	0	0	0	6	2018-08-14	2018-07-30	1	2	6	117
2018-08-17	egarcias	prueba5	0	0	0	8	2018-08-19	2018-08-17	2	2	4	97
2018-08-17	egarcias	redistribution_workflowr	0	0	0	24	2018-10-04	2018-08-02	3	0	4	107
2018-08-20	annakrystalli	intro-r-gis	0	7	0	94	2018-09-05	2018-05-25	1	43	10	151
2018-08-20	AnselmJeong	workflowr_test	0	0	0	5	2018-08-24	2018-08-20	1	1	3	76
2018-08-21	rukaht	WorkFlowTutorial	0	0	0	7	2018-08-21	2018-08-21	1	1	4	98
2018-08-23	anthonyhung	myproject	0	0	0	2	2018-08-23	2018-08-23	1	1	3	76
2018-08-26	jonathandash	understorey	0	0	0	16	2018-08-28	2018-08-27	2	7	5	125
2018-08-30	amromeo	icsh_irf	0	0	0	64	2018-10-17	2018-08-30	2	5	9	164
2018-08-30	davidhen	ipdln_hackathon	0	0	0	4	2018-08-30	2018-08-30	1	1	3	76
2018-09-01	flliu315	project	0	0	0	5	2018-09-01	2018-09-01	1	2	4	97
2018-09-07	dewoller	doctor-shopping	0	0	0	18	2018-09-26	2018-08-31	1	3	5	121
